day	status	checked	concerns
1	done	249	0
2	done	184	0
3	done	182	0
4	done	170	0
5	done	90	0
6	done	173	0
7	done	112	0
8	done	68	0
9	done	169	0
10	done	61	0
11	done	128	0
12	done	145	0
13	done	94	0
14	done	149	0
15	done	121	0
16	done	99	0
17	done	96	0
18	done	22	0
19	done	68	0
20	done	30	0
21	done	81	0
22	done	105	0
23	done	51	0
24	done	78	0
25	done	40	0
26	done	52	0
27	done	108	0
28	done	104	0
29	done	54	0
30	done	152	0
31	done	50	0
32	done	40	0
33	done	43	0
34	done	148	0
35	done	113	0
36	done	118	0
37	done	84	0
38	done	148	0
39	done	148	0
40	done	243	0
41	done	122	0
42	done	180	0
43	done	230	0
44	done	212	0
45	done	176	0
46	done	170	0
47	done	108	0
48	done	90	0
49	done	105	0
50	done	85	0
51	done	75	0
52	done	105	0
53	done	59	0
54	done	138	0
55	done	47	0
56	done	42	0
57	done	171	0
58	done	144	0
59	done	136	0
60	done	101	0
61	done	72	0
62	done	78	0
63	done	66	0
64	done	156	0
65	done	104	0
66	done	68	0
67	done	36	0
68	done	45	0
69	done	121	0
70	done	98	0
71	done	60	0
72	done	55	0
73	done	75	0
74	done	67	0
75	done	102	0
76	done	71	0
77	done	38	0
78	done	88	0
79	done	110	0
80	done	112	0
81	done	42	1
82	done	56	0
83	done	78	0
84	done	61	0
85	done	88	0
86	done	104	0
87	done	77	0
88	done	80	0
89	done	58	0
90	done	61	0
91	done	71	0
92	done	42	0
93	done	32	0
94	done	48	0
95	done	99	0
96	done	52	0
97	done	76	0
98	done	56	3
99	done	105	0
100	done	44	0
101	done	49	0
102	done	24	0
103	done	39	0
104	done	58	0
105	done	26	0
106	done	78	0
107	done	62	0
108	done	35	0
109	done	38	0
110	done	38	0
111	done	29	0
112	done	30	0
113	done	59	0
114	done	32	0
115	done	54	0
116	done	34	0
117	done	26	0
118	done	53	0
119	done	33	0
120	done	133	0
121	done	64	0
122	done	82	0
123	done	43	0
124	done	71	0
125	done	49	0
126	done	74	0
127	done	22	0
128	done	22	0
129	done	54	0
130	done	39	0
131	done	79	0
132	done	21	0
133	done	41	0
134	done	163	0
135	done	142	0
136	done	116	0
137	done	36	0
138	done	39	0
139	done	32	0
140	done	38	0
141	done	75	0
142	done	76	0
143	done	131	0
144	done	57	0
145	done	54	0
146	done	21	0
147	done	34	1
148	done	54	0
149	done	11	0
150	done	15	0
151	done	12	0
152	done	12	0
153	done	57	0
154	done	28	0
155	done	22	0
156	done	39	0
157	done	32	0
158	done	19	0
159	done	31	0
160	done	9	0
161	done	34	0
162	done	77	0
163	done	44	0
164	done	15	0
165	done	14	0
166	done	17	0
167	done	18	0
168	done	70	0
169	done	20	0
170	done	56	0
171	done	48	0
172	done	50	0
173	done	21	0
174	done	8	0
175	done	29	0
176	done	8	0
177	done	23	0
178	done	23	0
179	done	11	0
180	done	10	0
181	done	125	0
182	done	30	0
183	done	46	0
184	done	28	0
185	done	23	0
186	done	24	0
187	done	34	0
188	done	8	0
189	done	17	0
190	done	29	0
191	done	25	0
192	done	29	0
193	done	19	0
194	done	35	0
195	done	17	0
196	done	35	0
197	done	46	0
198	done	39	0
199	done	16	0
200	done	28	0
201	done	26	0
202	done	27	0
203	done	40	0
204	done	46	1
205	done	14	0
206	done	29	0
207	done	66	0
208	done	50	0
209	done	45	0
210	done	55	0
211	done	48	0
212	done	18	0
213	done	32	0
214	done	15	0
215	done	44	0
216	done	58	0
217	done	59	0
218	done	34	0
219	done	47	0
220	done	12	0
221	done	83	0
222	done	47	0
223	done	67	0
224	done	36	0
225	done	57	0
226	done	71	0
227	done	39	0
228	done	45	0
229	done	30	0
230	done	15	0
231	done	41	0
232	done	143	0
233	done	27	0
234	done	23	0
235	done	37	0
236	done	42	0
237	done	58	0
238	done	26	0
239	done	47	0
240	done	26	0
241	done	15	0
242	done	24	0
243	done	33	0
244	done	32	0
245	done	53	0
246	done	44	0
247	done	29	0
248	done	27	0
249	done	41	0
250	done	27	0
251	done	55	0
252	done	42	0
253	done	47	0
254	done	30	0
255	done	35	0
256	done	38	0
257	done	35	0
258	done	57	0
259	done	43	0
260	done	81	0
261	done	31	0
262	done	42	0
263	done	17	0
264	done	38	0
265	done	46	0
266	done	25	0
267	done	60	0
268	done	109	0
269	done	45	0
270	done	27	0
271	done	20	0
272	done	48	0
273	done	39	0
274	done	81	0
275	done	52	0
276	done	25	0
277	done	44	0
278	done	30	0
279	done	69	0
280	done	37	0
281	done	52	0
282	done	28	0
283	done	24	0
284	done	56	0
285	done	36	0
286	done	38	0
287	done	35	0
288	done	42	0
289	done	33	0
290	done	39	0
291	done	41	0
292	done	72	0
293	done	34	0
294	done	15	0
295	done	66	0
296	done	48	0
297	done	14	0
298	done	19	0
299	done	27	0
300	done	58	0
301	done	55	0
302	done	55	0
303	done	54	0
304	done	36	0
305	done	17	0
306	done	47	0
307	done	29	0
308	done	42	0
309	done	77	0
310	done	58	0
311	done	58	0
312	done	45	0
313	done	47	0
314	done	44	0
315	done	81	0
316	done	39	0
317	done	62	0
318	done	50	0
319	done	73	0
320	done	72	0
321	done	39	0
322	done	47	0
323	done	63	0
324	done	59	0
325	done	78	0
326	done(manual)	-	0
327	done(manual)	-	0
328	done(manual)	-	0
329	done(manual)	-	0
330	done(manual)	-	0
331	done(manual)	-	0
332	done(manual)	-	0
333	done(manual)	-	0
334	done(manual)	-	0
335	done(manual)	-	0
336	done(manual)	-	0
337	done(manual)	-	0
338	done(manual)	-	0
339	done(manual)	-	0
340	done(manual)	-	0
341	done(manual)	-	0
342	done(manual)	-	0
343	done(manual)	-	0
344	done(manual)	-	0
345	done(manual)	-	0
346	done(manual)	-	0
347	done(manual)	-	0
348	done(manual)	-	0
349	done(manual)	-	0
350	done(manual)	-	0
351	done(manual)	-	0
352	done(manual)	-	0
353	done(manual)	-	0
354	done(manual)	-	0
355	done(manual)	-	0
356	done(manual)	-	0
357	done(manual)	-	0
358	done(manual)	-	0
359	done(manual)	-	0
360	done(manual)	-	0
361	done(manual)	-	0
362	done(manual)	-	0
363	done(manual)	-	0
364	done(manual)	-	0
