host	start	end	text	target	note	src
太1:1#1	12	17	啟二二21	啟22:21	-	book
太1:1#1	716	721	羅九6～8	羅9:6	-	book
太1:1#1	732	735	加三7	加3:7	-	book
太1:1#1	736	737	9	加3:9	-	bare
太1:1#1	738	740	29	加3:29	-	bare
太1:1#2	34	41	路三23～38	路3:23	-	book
太1:1#2	80	81	1	太1:1	-	bare
太1:1#2	82	87	16～17	太1:16	-	bare
太1:1#3	35	43	撒下七12～13	撒下7:12	-	book
太1:1#3	44	51	路一32～33	路1:32	-	book
太1:1#3	83	87	王上六2	王上6:2	-	book
太1:1#3	97	105	王上十23～24	王上10:23	-	book
太1:1#3	106	111	太十二42	太12:42	-	book
太1:1#4	42	50	創二二17～18	創22:17	-	book
太1:1#4	51	55	加三16	加3:16	-	book
太1:1#4	56	58	14	加3:14	-	bare
太1:1#4	96	103	創二二9～10	創22:9	-	book
太1:1#4	104	109	來十一19	來11:19	-	book
太1:1#4	125	133	創二四61～67	創24:61	-	book
太1:2#1	12	17	創十六15	創16:15	-	book
太1:2#1	18	23	二一2～3	創21:2	-	chapter
太1:2#1	24	27	二五2	創25:2	-	chapter
太1:2#1	45	50	羅九7～8	羅9:7	-	book
太1:2#1	80	85	創二二18	創22:18	-	book
太1:2#1	86	89	二六4	創26:4	-	chapter
太1:2#2	17	25	創二五21～26	創25:21	-	book
太1:2#2	38	45	羅九10～13	羅9:10	-	book
太1:2#2	79	84	創二二18	創22:18	-	book
太1:2#2	85	88	二六4	創26:4	-	chapter
太1:2#2	89	93	二八14	創28:14	-	chapter
太1:2#3	63	69	創四九3～4	創49:3	-	book
太1:2#3	70	76	代上五1～2	代上5:1	-	book
太1:2#3	127	134	申三三8～10	申33:8	-	book
太1:2#3	146	151	創四九10	創49:10	-	book
太1:2#3	152	156	代上五2	代上5:2	-	book
太1:2#3	181	185	來七14	來7:14	-	book
太1:3#1	11	17	創五1～32	創5:1	-	book
太1:3#1	66	68	16	太1:16	-	bare
太1:3#1	86	87	5	太1:5	-	bare
