# 人工覆寫清單 —— 稽核抓出的語意錯誤，逐筆修正
#
# 為什麼是覆寫而非改規則：這些錯誤多半是「承接的語意歧義」，規則分不出。
# 例可14:20 的「19～20節」該承接前文的路22（主的晚餐），但同結構的申30:12
# 「11～14節」卻該是本卷申30 而非承接前文的羅10。實測放寬承接會修好 1 筆、
# 弄壞約 30 筆。故解析器維持不動，已知錯誤在此逐筆修正。
#
# 欄位：id <TAB> action <TAB> value <TAB> 理由
#   action = retarget  value = 新目標「簡稱章:節」，可加「#註標」
#   action = drop      value = -（刪掉這個連結，改回純文字）
# id 用 build_links.py / packets 裡的 id（host#註標@body位移）。
#
# 來源：audit workflow wf_6d0edecb-c43
id	action	value	reason
可14:20#1@145	retarget	路22:19	承接前文「路二二21～23」；語意上路22:19-20正是設立主晚餐處，與註解自述吻合，可14:19（問誰出賣主）非晚餐
徒13:34#1@108	retarget	詩89:19	同上類：「詩八九1的憐憫（複數），與19節的聖者（單數）同字根」—鏈被「的憐憫」斷掉退回本卷。詩89:19正是「論到你的聖者」，與句意嚴絲合縫；徒13:19（滅迦南七族）無關
詩2:1#1@35	retarget	詩1:1	「一篇說到人所珍賞的律法…（1～3。）」指詩篇第一篇1-3節（喜愛耶和華律法、凡所作盡都順利），與「律法/蒙福亨通」吻合。「一篇」非「一1」格式，解析器認不出它設定了章，退回本章詩2:1（外邦吼鬧）無關
#
# 全形數字的大綱編號（１）（２）（３）。Python 的 \d 預設吃全形數字，故被
# 當成裸節。全語料僅此 6 處，且都與未連結的中文編號 (四)(五) 平行，明顯是
# 大綱不是經節。路24 那 3 筆由稽核抓到，約壹 那 3 筆是循線找出（該天尚未稽核）。
#
# 行文中的節號，非供跳轉的引用。與「者同」同類：文中提到數字，但不是引用。
路11:49#1@78	drop	-	「擴大前文19節的話」是作者在指代下24的行文脈絡，非經節引用（路11:19講別西卜趕鬼、代下24:19講差遣申言者，兩者都不是此處要跳轉的目標）
#
路24:51#1@226	drop	-	大綱編號（１），非經節。與同段 (四)(五) 平行
路24:51#1@240	drop	-	大綱編號（２），非經節
路24:51#1@254	drop	-	大綱編號（３），非經節
約壹1:6#6@218	drop	-	大綱編號（１），非經節。「好成為：（１）神與人的實際」
約壹1:6#6@243	drop	-	大綱編號（２），非經節
約壹1:6#6@286	drop	-	大綱編號（３），非經節
